ExonGC,MotifGC,Spacing,Correlation
35.0,0.0,10,0.465878870432
45.0,0.0,10,0.524088074414
55.0,0.0,10,0.566373874389
65.0,0.0,10,0.500457595926
35.0,0.0,50,0.34697782543
45.0,0.0,50,0.308702943669
55.0,0.0,50,0.313269922061
65.0,0.0,50,0.1659727539
35.0,0.0,100,0.274440713893
45.0,0.0,100,0.300209563848
55.0,0.0,100,0.380430470514
35.0,0.0,200,0.281679162965
45.0,0.0,200,0.29014105441
55.0,0.0,200,0.35073454799
35.0,0.0,10,0.794008220347
45.0,0.0,10,0.810137186904
55.0,0.0,10,0.793292070277
65.0,0.0,10,0.831036000038
35.0,0.0,50,0.533276066519
45.0,0.0,50,0.464960601774
55.0,0.0,50,0.462262718316
65.0,0.0,50,0.0994475138122
35.0,0.0,100,0.482966070352
45.0,0.0,100,0.478014091764
55.0,0.0,100,0.449547262684
65.0,0.0,100,0.256684899776
35.0,0.0,200,0.501193571381
45.0,0.0,200,0.423478002282
55.0,0.0,200,0.43874289096
35.0,25.0,10,0.803274750902
45.0,25.0,10,0.794894071321
55.0,25.0,10,0.754152565768
65.0,25.0,10,0.808422554204
35.0,25.0,50,0.564224080839
45.0,25.0,50,0.488580800065
55.0,25.0,50,0.563405881288
65.0,25.0,50,0.591224784074
35.0,25.0,100,0.557174222118
45.0,25.0,100,0.537701309355
55.0,25.0,100,0.491450572937
65.0,25.0,100,0.519786208838
35.0,25.0,200,0.586429851226
45.0,25.0,200,0.47894638199
55.0,25.0,200,0.502851649784
65.0,25.0,200,0.367081028572
35.0,25.0,10,0.808702264914
45.0,25.0,10,0.780354133045
55.0,25.0,10,0.758229311327
65.0,25.0,10,0.866510798537
35.0,25.0,50,0.572463280052
45.0,25.0,50,0.492560145733
55.0,25.0,50,0.421961840738
65.0,25.0,50,-0.355476335905
35.0,25.0,100,0.523886062319
45.0,25.0,100,0.516346529574
55.0,25.0,100,0.463114170649
65.0,25.0,100,0.17296686343
35.0,25.0,200,0.441013298712
45.0,25.0,200,0.562635649902
55.0,25.0,200,0.458239159537
65.0,25.0,200,0.123675683777
35.0,0.0,10,0.749065087617
45.0,0.0,10,0.771947537015
55.0,0.0,10,0.745535951537
65.0,0.0,10,0.757042408024
35.0,0.0,50,0.484988888355
45.0,0.0,50,0.533659223779
55.0,0.0,50,0.409648113946
35.0,0.0,100,0.535068809003
45.0,0.0,100,0.516057980441
55.0,0.0,100,0.432217848557
35.0,0.0,200,0.514210216232
45.0,0.0,200,0.395432951434
55.0,0.0,200,0.421133392035
35.0,0.0,10,0.810158873628
45.0,0.0,10,0.786767118856
55.0,0.0,10,0.799423836735
65.0,0.0,10,0.404168225961
35.0,0.0,50,0.5240955246
45.0,0.0,50,0.497719307029
55.0,0.0,50,0.424555789268
35.0,0.0,100,0.472855813263
45.0,0.0,100,0.463113467747
55.0,0.0,100,0.378728175073
35.0,0.0,200,0.430408745675
45.0,0.0,200,0.4619375945
55.0,0.0,200,0.358222812423
35.0,25.0,10,0.845367404098
45.0,25.0,10,0.802346038823
55.0,25.0,10,0.817093236213
65.0,25.0,10,0.786892768151
35.0,25.0,50,0.58784458116
45.0,25.0,50,0.571670971606
55.0,25.0,50,0.5706298071
65.0,25.0,50,0.500188164342
35.0,25.0,100,0.596118745156
45.0,25.0,100,0.547267706886
55.0,25.0,100,0.555723607825
65.0,25.0,100,0.546197788766
35.0,25.0,200,0.513130681417
45.0,25.0,200,0.558692107684
55.0,25.0,200,0.569508335469
65.0,25.0,200,0.643152694027
35.0,25.0,10,0.779864584716
45.0,25.0,10,0.809691191525
55.0,25.0,10,0.785023495078
65.0,25.0,10,0.775637657708
35.0,25.0,50,0.601346970259
45.0,25.0,50,0.522797335366
55.0,25.0,50,0.526912902678
65.0,25.0,50,0.544327358657
35.0,25.0,100,0.545266860852
45.0,25.0,100,0.511562263219
55.0,25.0,100,0.5167982477
65.0,25.0,100,0.318629678166
35.0,25.0,200,0.523380688943
45.0,25.0,200,0.508218594357
55.0,25.0,200,0.461783545209
65.0,25.0,200,0.493127267983
35.0,25.0,10,0.82850181884
45.0,25.0,10,0.690973625962
55.0,25.0,10,0.749750818346
65.0,25.0,10,0.687828260544
35.0,25.0,50,0.511002580971
45.0,25.0,50,0.47683186691
55.0,25.0,50,0.586009934651
65.0,25.0,50,0.484651130563
35.0,25.0,100,0.588890717245
45.0,25.0,100,0.494613666437
55.0,25.0,100,0.565764761691
65.0,25.0,100,0.228225477026
35.0,25.0,200,0.524363104658
45.0,25.0,200,0.481711631714
55.0,25.0,200,0.588692955131
65.0,25.0,200,0.695380854159
35.0,25.0,10,0.833004732462
45.0,25.0,10,0.843528331063
55.0,25.0,10,0.78736094749
65.0,25.0,10,0.817822007659
35.0,25.0,50,0.40851655529
45.0,25.0,50,0.539247825632
55.0,25.0,50,0.592502320658
65.0,25.0,50,0.242898953504
35.0,25.0,100,0.581206031991
45.0,25.0,100,0.557401713434
55.0,25.0,100,0.548968509593
65.0,25.0,100,0.106508064122
35.0,25.0,200,0.603330145986
45.0,25.0,200,0.547611278496
55.0,25.0,200,0.538879415467
65.0,25.0,200,0.734607836333
35.0,50.0,10,0.692821647445
45.0,50.0,10,0.830080304327
55.0,50.0,10,0.793265722944
65.0,50.0,10,0.629112822145
35.0,50.0,50,0.645145345618
45.0,50.0,50,0.521910095092
55.0,50.0,50,0.597829074874
65.0,50.0,50,0.490087892393
35.0,50.0,100,0.334622618012
45.0,50.0,100,0.566306445772
55.0,50.0,100,0.587334261651
65.0,50.0,100,0.505218451707
35.0,50.0,200,0.376924079299
45.0,50.0,200,0.465866958762
55.0,50.0,200,0.531865635016
65.0,50.0,200,0.547993775893
35.0,50.0,10,0.86826955104
45.0,50.0,10,0.832479219164
55.0,50.0,10,0.777929688958
65.0,50.0,10,0.792210152643
35.0,50.0,50,0.552995545376
45.0,50.0,50,0.547169463787
55.0,50.0,50,0.579952879456
65.0,50.0,50,0.508906169912
35.0,50.0,100,0.629442058969
45.0,50.0,100,0.557366060365
55.0,50.0,100,0.564061781698
65.0,50.0,100,0.384940138759
35.0,50.0,200,0.642216890873
45.0,50.0,200,0.537662883544
55.0,50.0,200,0.556865247018
65.0,50.0,200,0.395053992548
35.0,25.0,10,0.658327369755
45.0,25.0,10,0.706198804989
55.0,25.0,10,0.642032250108
65.0,25.0,10,0.732520564203
35.0,25.0,50,0.445709202285
45.0,25.0,50,0.522173656189
55.0,25.0,50,0.425676919809
65.0,25.0,50,0.512917708127
35.0,25.0,100,0.439091021942
45.0,25.0,100,0.480753268956
55.0,25.0,100,0.4708913417
65.0,25.0,100,0.649400864305
35.0,25.0,200,0.45484764204
45.0,25.0,200,0.491780942022
55.0,25.0,200,0.461938888257
65.0,25.0,200,0.310959562252
35.0,25.0,10,0.850319276191
45.0,25.0,10,0.813441325901
55.0,25.0,10,0.790105618572
65.0,25.0,10,0.710405051989
35.0,25.0,50,0.627913187143
45.0,25.0,50,0.570405338827
55.0,25.0,50,0.575565847212
65.0,25.0,50,0.655604348991
35.0,25.0,100,0.580357692964
45.0,25.0,100,0.533157673727
55.0,25.0,100,0.530502059038
65.0,25.0,100,0.660732980292
35.0,25.0,200,0.516981873416
45.0,25.0,200,0.544505979164
