ExonGC,MotifGC,Spacing,Correlation
35.0,0.0,10,0.157325473869
45.0,0.0,10,0.216281218542
55.0,0.0,10,0.201247081174
65.0,0.0,10,0.228378844367
35.0,0.0,50,0.095635063033
45.0,0.0,50,0.0765271962994
55.0,0.0,50,0.0930671463547
65.0,0.0,50,-0.0109423486364
35.0,0.0,100,0.101784943245
45.0,0.0,100,0.0817113635004
55.0,0.0,100,0.08967045457
65.0,0.0,100,0.131394899986
35.0,0.0,200,0.0957020633059
45.0,0.0,200,0.0827973609755
55.0,0.0,200,0.0825662403228
65.0,0.0,200,0.16988890905
35.0,0.0,10,0.437106043336
45.0,0.0,10,0.458444100335
55.0,0.0,10,0.410756762134
65.0,0.0,10,0.138197619038
35.0,0.0,50,0.253750255336
45.0,0.0,50,0.240484916877
55.0,0.0,50,0.211447868586
65.0,0.0,50,0.204043922963
35.0,0.0,100,0.210611112078
45.0,0.0,100,0.213964141202
55.0,0.0,100,0.156215513342
65.0,0.0,100,0.259866507181
35.0,0.0,200,0.186849879833
45.0,0.0,200,0.205372392225
55.0,0.0,200,0.174468146795
65.0,0.0,200,0.0435675470553
35.0,25.0,10,0.183044026973
45.0,25.0,10,0.330902608759
55.0,25.0,10,0.29512647654
65.0,25.0,10,0.17289597669
35.0,25.0,50,0.0445083726111
45.0,25.0,50,0.207981243863
55.0,25.0,50,0.208964432043
65.0,25.0,50,0.334669485788
35.0,25.0,100,0.105459861294
45.0,25.0,100,0.164169975976
55.0,25.0,100,0.213396731876
65.0,25.0,100,0.182472427314
35.0,25.0,200,0.129641816535
45.0,25.0,200,0.20437906691
55.0,25.0,200,0.194828982422
65.0,25.0,200,0.202657095629
35.0,25.0,10,0.267017043136
45.0,25.0,10,0.245078113334
55.0,25.0,10,0.268658121816
65.0,25.0,10,0.0398295426366
35.0,25.0,50,0.166894617597
45.0,25.0,50,0.132227023795
55.0,25.0,50,0.138864350656
65.0,25.0,50,0.00439569231436
35.0,25.0,100,0.109573248579
45.0,25.0,100,0.125308543814
55.0,25.0,100,0.0937811118821
65.0,25.0,100,-0.0857416107395
35.0,25.0,200,0.10845956183
45.0,25.0,200,0.157417199259
55.0,25.0,200,0.0887574377155
65.0,25.0,200,0.021440701788
35.0,0.0,10,0.443278212706
45.0,0.0,10,0.451165420638
55.0,0.0,10,0.330822923203
65.0,0.0,10,0.503471793708
35.0,0.0,50,0.225433259168
45.0,0.0,50,0.23921361036
55.0,0.0,50,0.160204009731
35.0,0.0,100,0.22383666656
45.0,0.0,100,0.17439250598
55.0,0.0,100,0.139795304774
65.0,0.0,100,-0.222918436381
35.0,0.0,200,0.284605854725
45.0,0.0,200,0.148723289062
55.0,0.0,200,0.196956940126
65.0,0.0,200,0.265573883752
35.0,0.0,10,0.384509214664
45.0,0.0,10,0.426049254059
55.0,0.0,10,0.358194989328
65.0,0.0,10,0.33050688416
35.0,0.0,50,0.236002941419
45.0,0.0,50,0.222258091037
55.0,0.0,50,0.195663470438
65.0,0.0,50,-0.273548175137
35.0,0.0,100,0.151859192897
45.0,0.0,100,0.192133692313
55.0,0.0,100,0.105517417812
65.0,0.0,100,0.437282248844
35.0,0.0,200,0.186824832264
45.0,0.0,200,0.166833863214
55.0,0.0,200,0.144764226203
65.0,0.0,200,-0.116514173648
35.0,25.0,10,0.837563485076
45.0,25.0,10,0.808171663224
55.0,25.0,10,0.818604298701
65.0,25.0,10,0.79099142037
35.0,25.0,50,0.572642377324
45.0,25.0,50,0.579191795399
55.0,25.0,50,0.575596366784
65.0,25.0,50,0.597759910238
35.0,25.0,100,0.536057840693
45.0,25.0,100,0.580342855201
55.0,25.0,100,0.494545574415
65.0,25.0,100,0.562771573249
35.0,25.0,200,0.46298230568
45.0,25.0,200,0.569771083161
55.0,25.0,200,0.544276732673
65.0,25.0,200,0.524586304809
35.0,25.0,10,0.366863983159
45.0,25.0,10,0.343272136714
55.0,25.0,10,0.329314435579
65.0,25.0,10,0.325779008771
35.0,25.0,50,0.206833738929
45.0,25.0,50,0.123135790376
55.0,25.0,50,0.220693109733
65.0,25.0,50,0.113028111306
35.0,25.0,100,0.23235971809
45.0,25.0,100,0.195246466343
55.0,25.0,100,0.220119917049
65.0,25.0,100,0.192568227553
35.0,25.0,200,0.120529191737
45.0,25.0,200,0.240362098651
55.0,25.0,200,0.204601112123
65.0,25.0,200,0.12349364134
35.0,25.0,10,0.249909686452
45.0,25.0,10,0.246470405627
55.0,25.0,10,0.231108320331
65.0,25.0,10,0.0744292028249
35.0,25.0,50,0.132805590535
45.0,25.0,50,0.162972863097
55.0,25.0,50,0.192945861569
65.0,25.0,50,0.0485481154788
35.0,25.0,100,0.173080607126
45.0,25.0,100,0.158249999889
55.0,25.0,100,0.12139846106
65.0,25.0,100,-0.0277583469277
35.0,25.0,200,0.26062010796
45.0,25.0,200,0.153713817334
55.0,25.0,200,0.147991221218
65.0,25.0,200,0.0252622406887
35.0,25.0,10,0.358907886565
45.0,25.0,10,0.377738527999
55.0,25.0,10,0.322355398374
65.0,25.0,10,0.238700460429
35.0,25.0,50,0.0739119761033
45.0,25.0,50,0.204625625895
55.0,25.0,50,0.156943197528
65.0,25.0,50,0.169459137338
35.0,25.0,100,0.29072886357
45.0,25.0,100,0.218952939168
55.0,25.0,100,0.247414670549
65.0,25.0,100,0.139406418015
